,pos,pos
793413,pos,pos
1820574,pos,pos
793415,pos,pos
793416,pos,pos
1591558,pos,pos
615045,pos,pos
1824851,pos,pos
866002,pos,pos
1278064,pos,pos
866004,pos,pos
1394251,pos,pos
640910,pos,pos
912319,pos,pos
1350629,pos,pos
1037633,pos,pos
1350627,pos,pos
1037630,pos,pos
1350622,pos,pos
1350623,pos,pos
912314,pos,pos
912315,pos,neg
1292524,pos,pos
1665995,pos,pos
1591552,pos,pos
1292520,pos,pos
1188177,pos,pos
615590,pos,pos
1812350,pos,pos
615592,pos,pos
1399566,pos,pos
1812356,pos,neg
1182353,pos,pos
1194263,pos,pos
923812,pos,pos
1571379,pos,pos
1195138,pos,pos
1585472,pos,pos
917840,pos,pos
917842,pos,pos
1050535,pos,neg
1050534,pos,pos
921522,pos,pos
1113564,pos,pos
1113563,pos,neg
1113560,pos,pos
833695,pos,pos
1821628,pos,pos
755623,pos,pos
1582695,pos,pos
994156,pos,pos
1191309,pos,pos
1368039,pos,pos
1368036,pos,pos
998920,pos,pos
1191305,pos,pos
1806805,pos,pos
768218,pos,pos
1792037,pos,pos
753662,pos,pos
904825,pos,pos
677309,pos,pos
751098,pos,pos
1806807,pos,pos
1397028,pos,pos
1391919,pos,pos
1476299,pos,pos
1194881,pos,pos
1058822,pos,pos
1391910,pos,pos
1476295,pos,pos
875125,pos,pos
1625830,pos,pos
1808069,pos,pos
1742180,pos,pos
1010133,pos,pos
1808064,neg,pos
1808067,pos,pos
795018,pos,pos
795019,pos,pos
795012,pos,neg
795013,pos,pos
795010,pos,pos
836196,pos,pos
947679,pos,pos
837821,pos,neg
748020,pos,pos
1360249,pos,pos
748022,pos,pos
1740960,pos,neg
1740961,pos,pos
1360242,pos,pos
1360240,pos,pos
1747606,pos,pos
726939,pos,pos
797700,pos,pos
726936,pos,pos
743314,pos,pos
854039,pos,pos
914004,pos,pos
797705,pos,pos
1196658,pos,pos
836448,pos,pos
1049303,pos,pos
1049301,pos,pos
640865,pos,neg
1793348,pos,pos
663470,pos,pos
663475,pos,pos
697538,pos,pos
663479,pos,pos
667502,pos,neg
1318653,pos,pos
1247347,pos,pos
1208954,pos,pos
1251467,pos,pos
1786511,pos,pos
1208951,pos,neg
1805251,pos,pos
1251469,pos,pos
788936,pos,pos
1546313,pos,pos
1614228,pos,pos
1791829,pos,pos
1398381,pos,pos
1546319,pos,pos
641835,pos,pos
1806508,pos,pos
1355720,pos,pos
1114341,pos,pos
1760896,pos,pos
765295,pos,pos
604028,pos,pos
1114344,pos,pos
1006640,pos,pos
1599912,pos,pos
1203567,pos,pos
1203564,pos,pos
1456715,pos,pos
1456713,pos,pos
640123,pos,neg
1531123,pos,pos
690241,pos,pos
690247,pos,neg
1531127,pos,pos
1340569,pos,pos
688504,pos,pos
1012014,pos,pos
848119,pos,pos
1402892,pos,pos
919551,pos,neg
1407840,pos,pos
1407844,pos,pos
1044072,pos,pos
620147,pos,pos
732410,pos,pos
1644657,pos,pos
1653765,pos,pos
1126154,pos,pos
1092082,pos,pos
1648553,pos,pos
974566,pos,pos
1304810,pos,pos
1669509,pos,pos
1121726,pos,neg
1669504,pos,neg
1121728,pos,pos
661830,pos,pos
1580224,pos,pos
1497315,neg,pos
834752,pos,pos
834759,pos,pos
1448259,pos,pos
1364515,pos,pos
830049,pos,pos
862199,pos,pos
1526653,pos,neg
1007511,pos,pos
1502801,pos,pos
838698,pos,pos
1502805,pos,pos
838694,pos,pos
838696,pos,pos
1502808,pos,pos
1715162,pos,pos
838691,pos,pos
1259811,pos,pos
1532472,pos,neg
1754328,pos,pos
1751130,pos,pos
918208,pos,pos
727432,pos,pos
942431,pos,pos
783448,pos,pos
1303894,pos,pos
916334,pos,pos
916338,pos,pos
1590560,pos,pos
812704,pos,pos
638312,pos,pos
1788117,pos,pos
579607,pos,pos
638319,pos,pos
1019248,pos,pos
1786616,pos,pos
1194746,pos,pos
1194745,pos,pos
1194743,pos,pos
1053242,pos,pos
1194741,pos,pos
1199119,pos,pos
1230899,pos,pos
1194748,pos,pos
1051347,pos,pos
1641187,pos,pos
1051344,pos,pos
1051342,pos,pos
1298903,pos,pos
835406,pos,pos
835407,pos,pos
835400,pos,pos
1051348,pos,pos
969022,pos,pos
969026,pos,pos
831316,pos,pos
1004097,pos,pos
831310,pos,pos
1132403,pos,pos
1569901,pos,pos
1569905,pos,pos
1765946,pos,pos
663992,pos,pos
832756,pos,neg
998236,pos,pos
998234,pos,pos
998232,pos,neg
1083751,pos,pos
1654909,pos,pos
1001030,pos,neg
833802,pos,pos
833807,neg,pos
898510,pos,neg
898512,pos,pos
1551528,pos,pos
1415253,pos,pos
1839992,pos,pos
1302765,neg,pos
1235118,pos,pos
1272741,pos,pos
1306445,pos,pos
1696390,pos,pos
1179342,pos,pos
1306448,pos,neg
1399001,pos,pos
1399000,pos,pos
1203824,pos,pos
1399007,pos,pos
633421,pos,pos
1753425,pos,pos
1753424,pos,pos
618569,pos,pos
1753420,pos,pos
1753423,pos,pos
1728194,pos,pos
960275,pos,pos
953638,pos,pos
1412811,pos,pos
806930,pos,pos
1225890,pos,pos
1225891,pos,pos
1340548,pos,pos
1046565,pos,pos
1191061,pos,pos
668175,pos,pos
966498,pos,pos
920929,pos,pos
1382679,pos,pos
1139692,pos,pos
1345681,pos,pos
1218940,pos,pos
1218941,pos,pos
1407761,pos,pos
1494775,pos,pos
1218945,pos,pos
953635,pos,pos
1488253,pos,pos
1077755,pos,neg
1309004,pos,pos
1309007,pos,pos
1056025,pos,pos
651397,pos,pos
828688,pos,pos
875104,pos,pos
875103,pos,pos
1657698,pos,pos
1028268,pos,neg
828683,pos,pos
1657690,pos,pos
1390577,pos,pos
830861,pos,pos
1835334,pos,pos
1466634,pos,pos
907624,pos,pos
1835339,pos,pos
830868,pos,pos
1118374,pos,pos
1390578,pos,pos
1502027,pos,pos
938878,pos,pos
970144,pos,pos
655732,pos,neg
1515903,pos,pos
1615632,pos,pos
1795805,pos,pos
939692,pos,pos
1795806,pos,pos
1745451,pos,pos
1745450,pos,pos
1141730,pos,pos
1305802,pos,pos
1816621,pos,pos
1141735,pos,pos
1816623,pos,pos
879909,pos,pos
747030,pos,pos
805775,pos,pos
1527358,pos,pos
1527359,pos,pos
879904,pos,pos
1376398,pos,neg
1045713,pos,pos
1045716,pos,pos
1468142,pos,pos
1295419,pos,pos
1295418,pos,pos
1468149,pos,pos
1219302,pos,pos
1219307,neg,pos
1219306,pos,pos
1043009,pos,pos
1402861,pos,pos
1460777,pos,pos
648959,pos,pos
611762,pos,pos
666329,pos,pos
1135448,pos,pos
1505556,pos,pos
875816,pos,pos
1505552,pos,pos
1505553,pos,pos
1469815,pos,neg
1469816,pos,pos
1135442,pos,pos
875818,pos,pos
1181938,pos,pos
1618615,pos,pos
1618617,pos,pos
1513066,pos,pos
1513068,pos,pos
1600726,pos,pos
1148655,pos,pos
1154374,pos,pos
1147049,pos,pos
1148658,pos,pos
1148659,pos,pos
1154378,neg,neg
1146960,neg,pos
1146963,pos,pos
1526405,pos,pos
1146966,pos,pos
765264,pos,pos
1453973,pos,pos
1060456,pos,neg
1453978,pos,pos
667321,neg,neg
881578,pos,pos
1138286,pos,pos
881571,pos,pos
1202964,pos,pos
881573,pos,pos
881572,pos,neg
881574,pos,pos
881577,neg,pos
881576,pos,pos
921728,pos,pos
641507,pos,pos
953807,pos,pos
957387,pos,pos
807213,pos,pos
1138908,pos,pos
665672,pos,neg
1066858,pos,pos
1795826,pos,pos
1104295,pos,pos
1008377,pos,pos
1104291,pos,pos
665678,pos,pos
1226701,pos,pos
1795822,pos,pos
1033668,neg,pos
957651,pos,pos
1615610,pos,pos
957658,pos,pos
1680882,pos,pos
773016,pos,pos
1078783,pos,neg
1478907,pos,pos
1478903,pos,pos
1837408,pos,pos
696270,pos,pos
1454283,pos,pos
1841626,pos,neg
1316527,pos,neg
1454284,pos,pos
1454286,pos,pos
1454289,pos,pos
1445501,pos,pos
1316529,pos,pos
1445504,pos,pos
792424,pos,pos
1445507,pos,pos
705941,pos,pos
705940,pos,neg
1450997,pos,pos
908100,pos,pos
908101,pos,pos
1608155,pos,pos
880624,pos,pos
880622,pos,pos
991417,pos,pos
795699,pos,pos
915312,pos,neg
915311,pos,pos
1684788,pos,pos
915316,pos,pos
915314,pos,pos
1146032,pos,pos
1635578,pos,pos
1635579,pos,pos
1454759,pos,pos
731699,pos,pos
1637555,pos,pos
731693,pos,pos
1679730,pos,pos
1816604,pos,pos
1416783,pos,pos
1454755,pos,pos
1416781,pos,pos
632435,pos,pos
1527435,pos,pos
1522406,pos,pos
632430,pos,pos
792428,pos,pos
764619,pos,pos
1819101,pos,pos
1522408,pos,pos
923769,pos,pos
644496,pos,pos
644495,pos,pos
1216211,pos,pos
1535492,pos,pos
1647836,neg,pos
644490,pos,pos
1216218,pos,pos
1112420,pos,pos
1145600,pos,pos
1529760,pos,pos
668092,pos,pos
952860,pos,pos
668097,pos,pos
1529768,pos,pos
956529,pos,pos
766107,pos,pos
1660599,pos,pos
722630,pos,pos
1252376,pos,pos
1846075,pos,neg
1846076,pos,pos
1846071,pos,pos
1693459,pos,pos
965459,pos,neg
1846072,pos,neg
754809,pos,pos
965453,pos,pos
673528,pos,pos
1055932,pos,pos
1782189,pos,pos
773906,pos,pos
1782184,pos,pos
1828928,pos,pos
1782180,pos,pos
899310,pos,pos
997152,pos,pos
878870,pos,neg
1783586,pos,pos
1539345,pos,pos
1404371,pos,pos
1404372,neg,pos
1404379,pos,pos
1678469,pos,pos
669945,pos,neg
669940,pos,neg
1678461,pos,pos
1678466,pos,pos
1674973,pos,pos
1605936,pos,pos
1159330,pos,pos
1159332,pos,pos
1159334,pos,pos
841482,pos,pos
1104905,neg,pos
799490,pos,pos
1737819,pos,pos
1781988,pos,neg
840393,pos,pos
855293,pos,pos
1737810,pos,pos
1053697,pos,pos
1531322,pos,pos
607935,pos,pos
711358,pos,pos
724771,pos,pos
1144958,pos,neg
1144956,pos,pos
1144955,pos,pos
1053699,pos,pos
711352,pos,pos
648139,pos,pos
1326470,neg,pos
1326471,neg,pos
648135,pos,neg
1699949,pos,pos
1207446,pos,pos
1207441,pos,pos
1735418,pos,pos
1178692,pos,pos
917262,pos,pos
941049,pos,pos
1541312,pos,pos
917268,pos,pos
1597753,pos,pos
1000401,pos,pos
731665,pos,pos
1332447,pos,pos
685041,pos,neg
840283,pos,pos
1144016,pos,pos
1153662,pos,pos
1237046,pos,pos
1064549,pos,pos
640495,pos,pos
1064542,pos,neg
1063969,pos,pos
1749958,pos,pos
1189765,pos,pos
846627,pos,pos
846629,pos,pos
1802043,pos,pos
1560972,pos,pos
988650,pos,pos
1112505,pos,pos
1570745,pos,neg
1560979,pos,pos
915381,pos,pos
1166566,pos,pos
907540,pos,pos
840752,pos,pos
840756,pos,pos
641997,pos,pos
1098447,pos,pos
950290,pos,pos
727849,pos,pos
1098442,pos,pos
614293,pos,pos
1015950,pos,pos
1015954,pos,pos
643679,pos,pos
1084161,pos,pos
1532675,pos,pos
1532672,pos,pos
1532671,pos,pos
967726,pos,neg
1662351,pos,pos
1689131,pos,neg
595745,pos,pos
1689135,pos,pos
704840,pos,pos
1443018,pos,neg
640648,pos,pos
950375,pos,pos
617097,pos,pos
1190950,pos,pos
1190954,pos,pos
995708,pos,pos
1785181,pos,pos
1785180,pos,neg
1740859,pos,pos
1799632,pos,neg
1150317,pos,pos
1189188,pos,pos
1197456,pos,pos
1197454,pos,pos
866457,pos,pos
1816938,pos,pos
1402927,pos,pos
1402923,neg,pos
789971,pos,pos
1197458,pos,pos
1194184,pos,pos
1194186,pos,pos
866616,pos,pos
642231,pos,neg
1394047,pos,pos
642233,pos,neg
642234,pos,pos
1160169,pos,pos
950831,pos,pos
933206,pos,pos
1465712,pos,pos
795587,pos,pos
759016,neg,neg
1365368,pos,pos
1349323,pos,pos
1055692,pos,pos
1740854,pos,pos
1462848,pos,pos
1197985,pos,pos
1197989,pos,pos
1231077,pos,pos
1193202,pos,pos
1293122,pos,pos
1707274,pos,neg
749060,pos,pos
1527449,pos,neg
1707271,pos,pos
1532590,pos,pos
1576356,pos,pos
1199465,pos,pos
1289527,pos,pos
1666071,pos,pos
1536778,pos,pos
1666077,pos,pos
1591498,pos,pos
859162,pos,pos
1585848,pos,pos
833607,pos,pos
1591491,pos,pos
1585844,pos,neg
1591497,pos,pos
1103455,pos,pos
1623315,pos,pos
1028228,pos,neg
1399244,pos,pos
1399242,pos,pos
1399240,pos,pos
1753229,pos,pos
908909,pos,pos
1821471,pos,pos
645954,pos,neg
690421,pos,pos
697431,pos,neg
645950,pos,pos
801453,pos,neg
1534953,pos,pos
1000845,pos,neg
697439,pos,pos
794679,pos,pos
1175122,pos,pos
1692535,pos,pos
1334066,pos,neg
794675,pos,pos
794674,pos,pos
794677,pos,pos
1348051,pos,pos
1348052,pos,pos
1399795,pos,pos
1741953,pos,pos
1399797,pos,pos
1392075,pos,pos
1595648,pos,pos
790359,pos,pos
790356,pos,pos
790357,pos,pos
790354,pos,pos
1595645,pos,pos
755784,pos,pos
1325826,pos,pos
1047879,pos,pos
1577004,pos,pos
751093,pos,pos
906145,pos,neg
646424,pos,pos
1692282,pos,pos
1047872,pos,pos
1048778,pos,pos
1476316,pos,pos
1048777,pos,pos
1476312,pos,pos
1650003,pos,pos
1048773,pos,pos
1142978,pos,pos
1046608,pos,pos
700439,pos,pos
619493,pos,neg
755789,pos,pos
1474804,pos,pos
1728141,pos,pos
709719,pos,pos
709716,pos,pos
780726,pos,pos
1430614,pos,neg
1679470,pos,pos
1679473,pos,pos
997833,pos,pos
1615439,pos,pos
1615434,pos,pos
1386916,pos,pos
787973,pos,pos
787976,pos,pos
876468,pos,pos
619145,pos,pos
787975,pos,pos
876465,pos,pos
876464,neg,neg
787978,pos,pos
876466,pos,pos
876460,pos,pos
1290120,pos,pos
876462,pos,pos
1598967,pos,pos
1398531,pos,pos
1309126,pos,pos
1309124,pos,pos
1398539,pos,pos
768880,pos,pos
836767,pos,pos
836764,pos,pos
836765,pos,pos
1256700,pos,neg
836761,pos,pos
791911,pos,pos
791910,pos,pos
1337874,pos,pos
916909,pos,pos
1518782,pos,pos
916907,pos,pos
916906,pos,pos
989056,pos,pos
795201,pos,neg
695103,pos,pos
695108,pos,pos
791869,pos,pos
1776716,pos,pos
629722,pos,pos
914210,pos,pos
1776718,pos,pos
785237,pos,pos
621137,pos,pos
914216,pos,pos
945481,pos,pos
1294807,pos,pos
945485,pos,pos
1297691,pos,pos
863697,pos,neg
1026176,pos,pos
1771948,pos,pos
935147,pos,pos
696612,pos,pos
848704,pos,pos
1132198,pos,pos
646576,pos,neg
1130902,pos,pos
1296409,pos,pos
1130900,pos,pos
1691169,pos,pos
1691168,pos,pos
831502,pos,pos
1691165,pos,pos
1691167,pos,pos
1691160,pos,pos
1691163,pos,neg
746885,pos,pos
1547850,pos,pos
986565,pos,pos
907666,pos,pos
692451,pos,pos
1526424,pos,pos
1644594,pos,pos
1068340,pos,pos
1806715,pos,pos
1644598,pos,pos
620268,pos,pos
1175948,pos,pos
791864,pos,pos
1777045,pos,pos
1616837,pos,pos
786764,pos,pos
1303177,pos,pos
1748616,pos,pos
1748612,pos,pos
869756,pos,pos
1748610,pos,pos
1069371,pos,pos
1703018,pos,pos
1569710,pos,pos
1703016,pos,pos
896219,pos,pos
1526720,pos,pos
1526727,pos,pos
1557487,pos,pos
1372455,pos,pos
1232046,pos,neg
1232040,pos,pos
686838,pos,pos
686836,pos,pos
1322142,pos,pos
1192619,pos,pos
839684,pos,pos
1198470,pos,pos
1153819,pos,neg
1198478,pos,pos
1033282,neg,pos
974065,pos,neg
974067,pos,pos
968547,pos,pos
974063,pos,pos
1800717,pos,pos
784616,pos,pos
1332299,pos,pos
784614,pos,pos
1799578,pos,pos
1665190,pos,pos
838081,pos,pos
877401,pos,pos
638299,pos,neg
649226,pos,pos
649225,pos,pos
649223,pos,pos
1732867,pos,neg
766749,pos,pos
1451846,pos,pos
1682355,pos,pos
1102864,pos,pos
873237,pos,pos
719405,pos,pos
873235,neg,pos
787146,pos,pos
1045176,pos,pos
697155,pos,pos
873238,pos,pos
1734200,pos,pos
1073265,pos,pos
1641220,pos,pos
951411,pos,pos
951413,pos,pos
1747938,pos,pos
1747930,pos,pos
619879,pos,pos
1498430,pos,pos
611900,pos,pos
1668551,pos,pos
1668552,pos,pos
1668558,pos,pos
1389764,pos,pos
1477526,pos,pos
1037447,pos,pos
1004688,pos,pos
1489802,pos,neg
645474,pos,neg
1004683,pos,pos
963451,pos,pos
1052638,pos,pos
619870,pos,pos
963455,pos,pos
1028180,pos,pos
963459,pos,pos
963458,pos,pos
1076302,pos,pos
1005156,pos,pos
845733,pos,neg
845732,pos,pos
845731,pos,pos
845730,pos,pos
1683400,pos,pos
1683403,pos,pos
926481,pos,pos
650233,pos,pos
1414710,pos,pos
1148264,pos,pos
1555221,pos,pos
1486211,neg,pos
1129962,pos,pos
1066871,pos,neg
1129965,pos,pos
1221585,neg,pos
948266,pos,pos
1314285,pos,pos
1836346,pos,pos
1345523,pos,pos
1345522,pos,pos
1742024,neg,pos
1022846,pos,pos
1486217,pos,pos
1001816,pos,pos
1001814,pos,pos
1001815,pos,neg
1001813,pos,pos
1001810,pos,pos
1001811,pos,pos
798038,pos,pos
1386436,pos,pos
798037,pos,pos
1386433,pos,pos
1139066,pos,pos
1139064,pos,neg
804327,pos,pos
1096369,pos,pos
1097882,pos,pos
840518,pos,pos
1136606,pos,pos
1068221,pos,pos
1003410,pos,pos
1410260,neg,pos
1003414,pos,pos
840516,pos,pos
840517,pos,pos
844469,pos,pos
756675,pos,pos
938937,pos,neg
670889,pos,neg
1234050,pos,pos
1068227,pos,pos
621856,pos,pos
735510,pos,pos
987361,pos,pos
987364,pos,pos
571959,pos,pos
571957,pos,pos
1096364,pos,pos
1223674,pos,pos
1269686,neg,pos
1104992,pos,pos
1730574,pos,pos
1764937,pos,neg
1730577,pos,pos
1096366,pos,pos
1816784,pos,pos
1609871,pos,pos
1187743,pos,pos
1104990,pos,pos
1764938,pos,pos
1187745,pos,pos
1745398,pos,pos
1745399,pos,pos
1353180,pos,pos
1353181,pos,pos
1353187,pos,pos
1353185,pos,pos
1745390,pos,pos
1353188,pos,pos
1745395,pos,pos
1100349,pos,pos
1760636,pos,neg
1388565,pos,pos
1511962,pos,pos
1834851,pos,pos
1513236,pos,pos
1665893,pos,pos
1549488,pos,pos
951006,pos,pos
913432,pos,pos
913434,pos,pos
1304764,pos,pos
1304765,pos,pos
1358661,pos,pos
953108,pos,pos
846917,pos,pos
846914,pos,pos
1001413,pos,pos
1729950,pos,pos
953106,pos,neg
924253,pos,pos
924250,pos,pos
924251,pos,pos
730441,pos,neg
1211728,pos,pos
730447,pos,pos
730449,pos,pos
1473746,pos,pos
1211720,pos,pos
952270,pos,pos
1102872,pos,pos
1295205,pos,pos
1102870,pos,pos
1102877,pos,neg
1219117,pos,pos
666514,pos,pos
1638813,pos,pos
666513,pos,pos
666510,pos,pos
1082096,pos,pos
666519,pos,neg
1840030,pos,pos
671824,pos,pos
1840034,pos,pos
680899,pos,pos
1608058,pos,pos
925613,pos,pos
1769849,pos,neg
1503003,pos,pos
1016642,pos,pos
689991,pos,pos
1787705,pos,pos
1185249,pos,pos
1185245,pos,pos
1204501,pos,pos
1185247,pos,pos
1185241,pos,pos
1185242,pos,pos
1482142,pos,pos
915872,pos,pos
915870,pos,pos
1099906,pos,pos
915876,pos,pos
915877,pos,pos
915875,pos,pos
1394539,pos,pos
877367,pos,pos
620078,pos,pos
689997,pos,pos
877363,pos,pos
1153045,pos,pos
934338,pos,pos
908317,pos,pos
877368,pos,neg
1402765,pos,pos
723452,pos,pos
1402761,pos,neg
1402760,pos,pos
736139,pos,pos
1396976,pos,pos
736132,pos,pos
802070,pos,pos
807000,pos,pos
1523960,pos,pos
802077,pos,pos
1321148,pos,pos
1522615,pos,pos
1522611,pos,pos
1522612,pos,pos
1676140,pos,pos
1719915,pos,pos
1311709,pos,pos
1676145,pos,pos
1251633,pos,pos
1676147,pos,pos
1355748,pos,pos
1463640,pos,pos
1107754,pos,pos
1107755,pos,pos
1014488,pos,pos
1810432,pos,pos
1355741,pos,pos
1014482,neg,pos
915296,pos,pos
1196861,pos,pos
1196863,pos,pos
915293,pos,pos
758282,pos,pos
1188247,pos,pos
1196869,pos,pos
1268974,pos,pos
1667634,pos,neg
1305637,pos,pos
1194088,pos,pos
1679675,pos,pos
1220516,pos,neg
1607307,pos,pos
1328174,pos,pos
1053221,pos,pos
1307703,pos,neg
1822992,pos,pos
1053225,pos,pos
837163,pos,pos
837166,pos,pos
1290322,pos,pos
1794828,pos,pos
680197,pos,pos
1757054,pos,pos
1757055,pos,pos
1150537,pos,pos
1757051,pos,neg
1436523,pos,pos
1188791,pos,neg
644510,pos,pos
644516,pos,pos
1672864,pos,pos
907360,pos,pos
768977,pos,pos
1733495,pos,pos
997586,pos,pos
768972,pos,neg
797357,pos,pos
940295,neg,pos
1794794,pos,pos
1794795,pos,pos
1794792,pos,pos
1162393,pos,pos
1678231,pos,pos
1158292,pos,pos
1694858,pos,pos
797358,pos,neg
918746,pos,pos
1432183,pos,pos
1631242,neg,neg
1494085,pos,pos
918748,pos,pos
1573638,pos,pos
1705568,pos,pos
1205548,pos,pos
1205549,pos,pos
1400268,pos,pos
619252,pos,neg
685940,pos,pos
1098788,pos,pos
695473,pos,pos
695471,pos,pos
647150,pos,pos
647156,pos,neg
1846056,pos,pos
841360,pos,pos
841361,pos,pos
1052572,pos,pos
1052577,pos,pos
853805,pos,pos
800341,pos,neg
853809,neg,pos
691367,pos,neg
691366,pos,pos
691365,pos,pos
1020100,pos,pos
676058,pos,pos
895436,pos,pos
1271385,pos,pos
1480952,neg,neg
1066291,pos,pos
1098784,pos,neg
917184,pos,pos
1419997,pos,pos
917186,pos,pos
1193504,pos,neg
1532819,neg,pos
917182,pos,pos
979122,pos,pos
1098787,pos,pos
917188,pos,pos
917189,pos,pos
865933,pos,pos
760014,pos,pos
1667592,pos,pos
1292896,pos,neg
685361,pos,pos
955695,pos,pos
760018,pos,pos
1496691,pos,pos
723336,pos,pos
1090644,pos,pos
724100,pos,pos
788907,pos,pos
1202016,pos,pos
1208075,pos,pos
1047018,pos,pos
723338,pos,pos
716067,pos,pos
1688458,pos,pos
1084735,pos,pos
793300,pos,pos
1812053,pos,pos
1743122,pos,pos
856542,pos,pos
1098651,pos,pos
662909,pos,pos
1812059,pos,pos
1737160,pos,pos
1533910,pos,pos
1251399,pos,pos
1826693,pos,pos
1533917,pos,neg
1533916,pos,pos
1635516,pos,pos
950316,pos,pos
1403622,pos,pos
916583,pos,pos
946923,pos,pos
946925,pos,pos
747912,pos,pos
1597272,pos,pos
643358,pos,neg
1065409,pos,pos
1065408,pos,pos
852049,pos,pos
696618,pos,pos
1816884,pos,pos
1065403,pos,pos
912800,pos,pos
696619,pos,pos
1065406,pos,pos
1203654,pos,pos
657866,pos,pos
1665289,pos,pos
1665288,pos,pos
612439,pos,pos
1430030,pos,neg
1430032,pos,pos
1819122,pos,pos
1627779,pos,pos
1060488,pos,pos
793369,pos,pos
913509,neg,pos
1150291,pos,pos
1150293,pos,pos
1150292,pos,pos
1150295,pos,pos
838243,pos,pos
838242,pos,pos
996667,pos,pos
838240,pos,pos
838245,pos,pos
1839054,pos,pos
978833,pos,pos
1496544,pos,pos
1236238,pos,pos
839110,pos,pos
839111,pos,pos
1050225,pos,pos
1839056,pos,pos
839115,pos,neg
1718182,pos,pos
628060,pos,pos
1149529,pos,pos
1337291,pos,pos
1083966,pos,pos
1337298,pos,pos
978289,pos,pos
1174158,pos,pos
1498499,neg,pos
1174150,pos,pos
978287,pos,pos
1082386,pos,pos
1492394,pos,pos
1277082,pos,neg
1194392,pos,pos
1194393,pos,pos
1815081,pos,pos
616642,pos,neg
662966,pos,pos
1391205,pos,pos
824654,pos,pos
1093524,pos,pos
1093523,pos,pos
1093522,pos,pos
1536636,pos,pos
1036967,pos,pos
1536630,pos,pos
1813869,pos,pos
1004440,pos,pos
1813864,pos,pos
902171,pos,pos
1047843,pos,pos
1047842,pos,pos
1047841,pos,pos
1838907,pos,pos
1047847,pos,pos
1289312,pos,pos
744430,pos,pos
1287369,pos,neg
1005315,pos,pos
1343577,pos,pos
1083380,pos,pos
989027,pos,pos
1230173,pos,pos
1599719,pos,pos
959256,pos,neg
1224662,pos,pos
1224660,pos,neg
1719639,pos,pos
610497,pos,pos
1191819,pos,pos
1494949,pos,neg
1271863,pos,pos
643602,pos,neg
1494942,pos,pos
1651564,pos,pos
1191812,pos,pos
1055332,pos,pos
1191815,pos,pos
1055331,pos,pos
1747885,pos,pos
1148186,pos,neg
932670,pos,pos
1351630,pos,pos
1427088,pos,pos
1756046,pos,neg
760943,pos,pos
1049413,pos,pos
905066,pos,pos
905069,pos,pos
1134382,pos,pos
653005,pos,pos
708678,pos,pos
708679,pos,pos
619845,pos,pos
1466083,pos,neg
1315598,pos,pos
653008,pos,pos
754779,pos,pos
1360087,pos,pos
796474,pos,pos
1508631,pos,pos
1508636,pos,pos
1508634,pos,neg
1103272,pos,pos
646586,pos,neg
646585,pos,pos
1508639,neg,neg
646583,pos,pos
726198,pos,neg
646581,pos,pos
1259421,pos,pos
915905,pos,pos
1456492,pos,pos
804126,pos,pos
827367,pos,pos
1179221,pos,pos
1063324,pos,pos
1473887,pos,pos
1647565,neg,pos
1342227,pos,pos
1618482,pos,pos
860062,pos,pos
1179478,pos,pos
1716258,pos,pos
955355,pos,pos
1063321,pos,pos
1011944,pos,pos
1011949,pos,pos
1803182,pos,pos
1692092,pos,pos
1547462,pos,pos
945528,pos,pos
945521,pos,pos
619267,pos,pos
1463618,pos,pos
619263,pos,pos
1469871,pos,neg
648893,pos,neg
1463616,pos,pos
1463610,pos,pos
1430560,pos,pos
735012,pos,pos
735013,pos,pos
1398477,pos,pos
1398475,neg,pos
1398472,pos,pos
1398471,pos,pos
1398470,pos,pos
1424571,pos,neg
1367443,pos,pos
1424575,pos,pos
1398479,pos,pos
1430567,pos,pos
1606047,pos,pos
1606045,pos,pos
1101865,pos,pos
625029,pos,pos
860685,pos,pos
1504834,pos,pos
1610815,pos,pos
657833,pos,pos
739105,pos,pos
660476,pos,pos
1140616,pos,pos
1318090,pos,pos
660479,pos,pos
660478,pos,pos
798448,pos,pos
798449,pos,pos
1540600,neg,neg
613912,pos,pos
1223478,pos,pos
729756,pos,pos
762947,pos,pos
729755,pos,neg
1535381,pos,pos
695730,pos,neg
695732,pos,pos
1546732,pos,pos
621300,pos,pos
1546736,pos,pos
738474,pos,pos
651579,pos,neg
635532,pos,pos
1079869,pos,pos
960733,pos,pos
667296,pos,pos
667294,pos,pos
1461615,pos,pos
1161835,pos,pos
695747,pos,neg
620655,pos,pos
1181504,pos,pos
1709325,pos,pos
620658,pos,pos
863080,pos,pos
1325798,pos,pos
1487358,pos,pos
862356,pos,pos
661980,pos,pos
661982,pos,neg
1517392,pos,pos
661984,pos,pos
1659357,pos,pos
661989,pos,pos
1840543,neg,pos
1806693,pos,pos
1806694,pos,pos
1643690,pos,pos
1831736,pos,pos
1831737,pos,pos
667120,pos,pos
667122,pos,pos
1303038,pos,pos
667128,pos,pos
1451676,pos,neg
838762,pos,pos
1036897,pos,pos
977523,pos,pos
955091,pos,pos
625973,pos,neg
881108,pos,pos
666457,pos,pos
889732,pos,pos
666455,pos,pos
889730,pos,pos
666453,pos,pos
666451,pos,pos
654873,pos,pos
1458794,pos,pos
1385724,pos,pos
1689823,pos,pos
1456372,pos,pos
1802276,pos,pos
1802275,pos,pos
1456374,pos,pos
1728978,pos,pos
1378586,pos,pos
877618,pos,pos
